date(mm/dd/yyyy),time(h:m:s),temp(F),ec(uS/cm),stage(ft)
1/25/2021,00:00:00,48.43,1400,0.53
1/25/2021,00:15:00,48.44,1402,0.53
1/25/2021,00:30:00,48.45,1402,0.52
1/25/2021,00:45:00,48.44,1402,0.52
1/25/2021,01:00:00,48.44,1400,0.52
1/25/2021,01:15:00,48.43,1395,0.51
1/25/2021,01:30:00,48.43,1392,0.51
1/25/2021,01:45:00,48.44,1389,0.51
1/25/2021,02:00:00,48.46,1384,0.50
1/25/2021,02:15:00,48.47,1380,0.50
1/25/2021,02:30:00,48.47,1377,0.50
1/25/2021,02:45:00,48.48,1375,0.50
1/25/2021,03:00:00,48.49,1372,0.50
1/25/2021,03:15:00,48.50,1370,0.49
1/25/2021,03:30:00,48.50,1368,0.49
1/25/2021,03:45:00,48.50,1368,0.49
1/25/2021,04:00:00,48.49,1372,0.49
1/25/2021,04:15:00,48.47,1382,0.49
1/25/2021,04:30:00,48.45,1390,0.49
1/25/2021,04:45:00,48.42,1396,0.48
1/25/2021,05:00:00,48.39,1398,0.48
1/25/2021,05:15:00,48.37,1399,0.48
1/25/2021,05:30:00,48.36,1399,0.48
1/25/2021,05:45:00,48.33,1399,0.48
1/25/2021,06:00:00,48.30,1399,0.48
1/25/2021,06:15:00,48.26,1399,0.47
1/25/2021,06:30:00,48.24,1399,0.47
1/25/2021,06:45:00,48.20,1399,0.47
1/25/2021,07:00:00,48.15,1399,0.47
1/25/2021,07:15:00,48.12,1399,0.47
1/25/2021,07:30:00,48.09,1399,0.47
1/25/2021,07:45:00,48.06,1400,0.46
1/25/2021,08:00:00,48.04,1400,0.46
1/25/2021,08:15:00,48.03,1400,0.46
1/25/2021,08:30:00,48.03,1400,0.46
1/25/2021,08:45:00,48.03,1401,0.46
1/25/2021,09:00:00,48.01,1401,0.46
1/25/2021,09:15:00,47.99,1401,0.46
1/25/2021,09:30:00,47.97,1402,0.46
1/25/2021,09:45:00,47.97,1402,0.45
1/25/2021,10:00:00,47.97,1402,0.45
1/25/2021,10:15:00,48.00,1402,0.45
1/25/2021,10:30:00,48.05,1402,0.45
1/25/2021,10:45:00,48.08,1402,0.45
1/25/2021,11:00:00,48.13,1403,0.45
1/25/2021,11:15:00,48.09,1403,0.45
1/25/2021,11:30:00,48.08,1403,0.45
1/25/2021,11:45:00,48.13,1403,0.45
1/25/2021,12:00:00,48.22,1403,0.45
1/25/2021,12:15:00,48.12,1403,0.45
1/25/2021,12:30:00,48.18,1403,0.44
1/25/2021,12:45:00,48.24,1403,0.44
1/25/2021,13:00:00,48.26,1404,0.44
1/25/2021,13:15:00,48.29,1404,0.44
1/25/2021,13:30:00,48.34,1404,0.44
1/25/2021,13:45:00,48.36,1404,0.44
1/25/2021,14:00:00,48.35,1404,0.44
1/25/2021,14:15:00,48.38,1404,0.44
1/25/2021,14:30:00,48.40,1404,0.44
1/25/2021,14:45:00,48.39,1404,0.44
1/25/2021,15:00:00,48.38,1404,0.43
1/25/2021,15:15:00,48.39,1404,0.44
1/25/2021,15:30:00,48.35,1404,0.43
1/25/2021,15:45:00,48.31,1404,0.43
1/25/2021,16:00:00,48.29,1404,0.43
1/25/2021,16:15:00,48.22,1404,0.43
1/25/2021,16:30:00,48.18,1404,0.43
1/25/2021,16:45:00,48.14,1404,0.43
1/25/2021,17:00:00,48.12,1404,0.43
1/25/2021,17:15:00,48.15,1404,0.43
1/25/2021,17:30:00,48.14,1404,0.42
1/25/2021,17:45:00,48.15,1404,0.42
1/25/2021,18:00:00,48.14,1404,0.42
1/25/2021,18:15:00,48.15,1404,0.42
1/25/2021,18:30:00,48.21,1404,0.42
1/25/2021,18:45:00,48.25,1404,0.42
1/25/2021,19:00:00,48.26,1404,0.42
1/25/2021,19:15:00,48.25,1404,0.42
1/25/2021,19:30:00,48.18,1404,0.42
1/25/2021,19:45:00,48.18,1404,0.41
1/25/2021,20:00:00,48.18,1404,0.41
1/25/2021,20:15:00,48.12,1404,0.41
1/25/2021,20:30:00,48.05,1405,0.41
1/25/2021,20:45:00,48.03,1405,0.41
1/25/2021,21:00:00,47.95,1405,0.41
1/25/2021,21:15:00,47.89,1405,0.41
1/25/2021,21:30:00,47.80,1405,0.41
1/25/2021,21:45:00,47.71,1405,0.41
1/25/2021,22:00:00,47.69,1405,0.41
1/25/2021,22:15:00,47.58,1406,0.41
1/25/2021,22:30:00,47.50,1406,0.41
1/25/2021,22:45:00,47.37,1406,0.41
1/25/2021,23:00:00,47.31,1406,0.40
1/25/2021,23:15:00,47.19,1407,0.40
1/25/2021,23:30:00,47.15,1407,0.40
1/25/2021,23:45:00,47.08,1407,0.40
